	RE.048	RE.056	RE.064	RE.072	RE.080	RE.088	RE.096	RE.049	RE.065	RE.073	RE.081	RE.089	RE.097	RE.058	RE.074	RE.082	RE.090	RE.098	RE.051	RE.059	RE.075	RE.083	RE.091	RE.099	RE.052	RE.068	RE.076	RE.084	RE.092	RE.053	RE.077	RE.085	RE.093	RE.054	RE.062	RE.078	RE.086	RE.094	RE.102	RE.047	RE.055	RE.071	RE.079	RE.087	RE.095	RE.002	RE.003	RE.004	RE.005	RE.006	RE.007	RE.008	RE.009	RE.010	RE.011	RE.012	RE.013	RE.014	RE.015	RE.016	RE.017	RE.018	RE.019	RE.020	RE.021	RE.022	RE.023
RE.048	2.33888	0.15377852	-0.0045768386	-0.18073153	-0.1864603	0.27840626	-0.34454665	-0.03245748	0.014689756	-0.24823827	-0.26420468	0.085773274	-0.20797469	0.06809779	-0.04095864	-0.08378622	-0.0028965122	-0.24534889	-0.118811384	0.04474305	-0.006661344	0.1840158	-0.002091646	-0.15198055	0.19456314	0.15748765	0.16234717	-0.2284444	-0.20638186	-0.020805301	0.2638089	0.053620584	-0.13072686	0.2535475	-0.11487727	-0.004814841	-0.21854632	-0.03506501	-0.031716805	0.052321423	-0.23541796	-0.021280387	-0.19398378	-0.20701975	0.17517836	-0.14127313	-0.29827872	-0.37835285	-0.0238994	-0.1934818	0.23631476	-0.16853805	0.0052507836	0.0375137	0.07148438	-0.06805674	0.32919052	-0.09000304	0.16584419	-0.118758485	0.16964224	-0.101903826	-0.11121811	-0.19110897	-9.741205E-4	0.18550925	-0.025355881
RE.056	0.15377852	2.2922938	-0.1446677	0.06119093	-0.04055847	0.26759276	-0.20921868	0.06361174	0.2445922	-0.2832916	-0.2684996	0.012616003	-0.14503762	0.07584535	0.1653826	-0.12936117	-0.09569641	-0.27579278	-0.3289433	-0.0025335127	-0.26500615	0.053747807	0.058219768	-0.31402937	-0.026101304	-0.22901614	0.30969226	-0.15576884	-0.26670784	0.46199453	0.20397824	-0.0121155325	0.013971151	-0.16040568	0.17112249	-0.03091725	0.06835371	-0.2728399	-0.2546268	0.11543322	-0.1350994	0.045138355	-0.123540185	-0.30715808	-0.08527515	-0.11358272	-0.13934976	-0.46499494	-0.2476608	-0.3167308	0.19329531	-0.2631705	0.26654166	0.0971593	0.89458036	0.11589275	0.20476705	-0.2122897	0.27609426	0.021795897	-0.19811666	-0.20573357	0.17022212	-0.32577622	-0.12131142	-0.018495612	0.11051847
RE.064	-0.0045768386	-0.1446677	1.8447183	-0.2753211	0.08924032	-0.041377645	0.02274602	0.19549136	-0.15495646	0.6138706	-0.14100929	-0.038795587	0.08524611	0.05381148	-0.08850833	-0.064565524	0.06784549	0.011294897	-0.0032164329	-0.006380961	-0.0061654397	-0.1151779	-0.017074024	0.106878564	-0.24665363	-0.17903636	-0.12908575	0.30365014	0.0656087	-0.21575913	-0.16798325	-0.1907986	-0.0035534396	-0.12855034	-0.18641725	-0.2877955	-0.08061799	0.26702422	-0.07361256	-0.1397605	0.017570708	-0.14063863	-0.21604832	-0.20512152	-0.08798376	0.1727217	-0.030796692	0.16725424	0.30304524	0.08241473	-0.030366022	0.18968743	-0.11836168	-0.0354011	-0.1982582	-0.22234835	-0.02342366	-0.10333686	0.048062887	-0.0731429	-0.18497801	1.586984E-4	0.10687143	0.04389219	0.15126003	-0.14535661	-0.063385166
RE.072	-0.18073153	0.06119093	-0.2753211	1.8041039	-0.18188795	-0.1817416	-0.084399834	-0.14549007	0.11389016	-0.2922187	-0.048144776	-0.09908397	-0.20632695	-0.25336882	0.03497041	-0.08140426	-0.1719136	-0.070841715	-0.16025157	-0.15899903	0.080560125	-0.14541198	0.041873347	0.107120365	0.2955782	-0.111512184	-0.009968896	-0.08898765	-0.13589102	0.31169593	-0.023873787	0.7165353	-0.07690734	-0.019328754	0.09151684	0.18602729	-0.05738879	-0.17182761	-0.15174694	0.17804849	0.048946615	0.075308666	-0.183983	0.15894333	0.113424376	-0.18948744	-0.17172329	-0.18888739	-0.16828063	-0.018237464	-0.06007111	-0.1321571	0.13573028	-0.027504917	0.17832814	0.10233289	-0.17267701	-0.0859966	-0.15368356	0.051469952	0.30760723	-0.07020582	0.371095	-0.117664985	-0.2606442	0.052330595	-0.03245425
RE.080	-0.1864603	-0.04055847	0.08924032	-0.18188795	2.2230682	-0.15600216	0.22807431	-0.12973608	-0.0649154	0.24594972	0.07049498	-0.07209371	0.42177215	-0.0014609937	-0.039051242	-0.18065149	-0.004731821	0.075546764	-0.05931704	-0.04221796	-0.05670918	-0.052792076	-0.10933279	0.062486783	-0.26285413	-0.19486704	-0.05485928	0.2533806	0.17415163	-0.19340496	-0.16360204	-0.17871147	0.16537638	-0.3893711	-0.103834674	-0.13547666	-0.1852153	0.13634616	-0.018266859	-0.034477264	-0.11344674	-0.23946843	-0.1324491	-0.046418313	-0.08184492	0.09121206	0.107903115	0.40266103	0.12646727	0.17517726	-0.17004986	0.22139223	-0.18232602	-0.19844906	-0.2680051	-0.17722303	-0.04668574	-0.19350027	-0.109351076	-0.07026422	-0.22003707	0.14622444	0.08630802	0.034535494	-0.05242254	-0.020047186	0.07707909
RE.088	0.27840626	0.26759276	-0.041377645	-0.1817416	-0.15600216	2.4372573	-0.156838	-0.025973015	0.10569727	-0.09777579	-0.30381247	0.11704803	-0.36843288	-0.06943675	0.13595922	-0.08343689	0.07097729	-0.24182293	-0.13742228	0.07038788	-0.10564571	0.057678137	0.011338634	-0.22276905	0.006233756	0.0017299736	0.23020461	-0.08997185	-0.33717418	0.15893055	0.36116573	-0.29474273	-0.20547721	-0.17259401	-0.08504536	-0.11418439	0.046538282	-0.10493393	-0.041133657	-0.08334045	0.10151953	0.09742268	-0.098752625	-0.26352936	-0.039512303	-0.014928511	-0.19336401	-0.36871538	-0.06491417	-0.27646282	0.29296023	-0.14162827	0.16276264	-0.048255686	0.1633882	-0.03083518	0.43967873	-0.16108342	0.15631136	-0.12463311	-0.18547331	-0.23253977	0.015154513	-0.21000223	0.3198666	0.07444175	-0.0049379156
RE.096	-0.34454665	-0.20921868	0.02274602	-0.084399834	0.22807431	-0.156838	1.9068193	-0.12812848	-0.11164275	0.16023135	0.22058819	-0.19354299	0.14578189	0.03345375	-0.014900516	-0.18187681	0.25830048	-0.1313081	0.21659732	-0.11162313	-0.077474326	-0.19698969	-0.23553877	0.1727605	-0.21658064	-0.041316643	-0.19162756	0.103146605	-0.069905095	-0.15224446	-0.1942307	-0.0693716	-0.097564004	-0.16935055	0.088884905	-0.11339259	-0.10745767	0.18703665	0.19857915	0.030565944	0.2307459	-0.18910088	0.06113726	0.15161438	-0.07073425	0.0088238865	0.11496974	0.07391216	0.5832511	0.19099422	-0.19649746	-0.078577526	-0.038709953	-0.11876938	-0.1506712	0.016281659	-0.26129794	0.030119702	-0.19879267	0.03886599	-0.21405603	0.23498502	-0.0058787786	-0.1379787	-0.025769018	-0.24563935	-0.17572431
RE.049	-0.03245748	0.06361174	0.19549136	-0.14549007	-0.12973608	-0.025973015	-0.12812848	2.0283256	-0.14612566	0.031421483	-0.31422573	-0.16716366	-0.17101105	0.19008423	-0.077002525	-0.01753003	0.04389044	-0.15743755	-0.18585956	-0.059265215	-0.14712973	0.13354601	-0.0010549917	-0.24840906	0.06633577	0.4653068	0.060553942	-0.07338784	-0.05599714	0.010837904	0.07237051	0.022399828	-0.058761578	0.27009028	-0.12654763	0.12913114	-0.054164458	-0.121892646	0.08284886	-0.25843564	0.011249034	-0.012489209	-0.05686683	-0.274758	-0.025065845	0.02001519	-0.04785047	-0.14225751	-0.16462135	-0.02924528	0.093157366	-0.057862956	-0.16450448	0.16254754	-0.12710977	0.06656327	0.035916112	-0.043131396	0.15093355	-0.22466688	0.07754965	-0.25198668	-0.083211176	-0.10307481	-0.061558615	0.19513357	0.09413724
RE.065	0.014689756	0.2445922	-0.15495646	0.11389016	-0.0649154	0.10569727	-0.11164275	-0.14612566	2.0484626	-0.043456998	-0.037281558	0.018423814	-0.06594799	-0.08979346	-0.14448889	-0.13432059	0.0022775596	-0.29977223	-0.14491482	0.045950595	-0.1874549	0.11680323	-0.040593036	-0.11865583	-0.017569305	0.065061666	0.20522049	0.08542287	-0.04786661	0.20467764	-0.035476338	-0.13978139	-0.09440931	-0.1135391	0.114773795	-0.16148773	0.30056638	-0.08331241	-0.07353166	0.017387295	-0.09291558	-0.049846236	-0.2009849	-0.15902166	-0.07707062	-0.029256713	0.062854454	-0.23689425	-0.06674161	-0.0062190793	0.0050350134	-0.17517579	0.19235608	-0.1117297	0.6959218	-0.23934981	0.059984077	0.15247154	-0.03811895	0.14491914	-0.22473307	-0.24041349	0.08833006	-0.32049817	0.10902169	-0.09021195	-0.30431494
RE.073	-0.24823827	-0.2832916	0.6138706	-0.2922187	0.24594972	-0.09777579	0.16023135	0.031421483	-0.043456998	2.0331562	-0.019138977	-0.1535065	0.5698224	-0.07894245	-0.25628442	-0.022488626	0.26313618	0.005466465	0.06325864	-0.18579704	0.042855695	-0.122805595	-0.022673912	0.012221007	-0.1917309	-0.09000269	-0.21081932	0.34827426	0.27666578	-0.19125336	-0.15358621	-0.20622452	0.16730611	-0.17302847	-0.1277074	-0.25899205	-0.15339875	0.09719759	0.10369555	-0.18877892	-0.12634827	-0.26973936	0.08236011	-0.13718499	-0.12550141	0.09211325	0.10256274	0.44183558	0.46102098	0.1804975	-0.21081814	-0.11405718	-0.17409424	-0.23634636	-0.07198268	-0.16525964	-0.18133831	-0.043882597	-0.16168118	7.097796E-5	-0.21347256	-0.06506682	-0.014673737	0.042290453	0.040553678	-0.15021008	-0.2440346
RE.081	-0.26420468	-0.2684996	-0.14100929	-0.048144776	0.07049498	-0.30381247	0.22058819	-0.31422573	-0.037281558	-0.019138977	1.9438744	-0.14986281	0.16164559	-0.11857561	-0.22157612	0.4383146	-9.6230564E-4	0.045067035	0.2933601	-0.23193789	-0.06390756	0.025340648	-0.1803183	-0.05869708	-0.16749232	0.04521567	-0.2273979	-0.054050446	0.020416457	-0.20291261	-0.23097172	0.042375784	-0.06812801	-0.044589132	0.18631105	-0.14901409	0.17528771	-0.043415077	0.06856472	-0.018599765	-0.04070939	-0.11154091	0.29384023	0.54353565	-0.114521034	-0.08537021	0.92652863	0.0046610045	0.0649777	-0.053867128	-0.2050043	-0.13659921	-0.037121966	-0.21079308	-0.09587384	0.21330777	-0.3791191	0.08814134	-0.27956536	-0.033667024	-0.24573457	0.25459468	-0.024175862	-0.068445034	-0.06993458	-0.32011476	0.014439185
RE.089	0.085773274	0.012616003	-0.038795587	-0.09908397	-0.07209371	0.11704803	-0.19354299	-0.16716366	0.018423814	-0.1535065	-0.14986281	1.8258419	-0.10428894	-0.26517883	-0.018329468	-0.20957197	-0.19664024	-0.12794355	-0.08641106	0.121983804	-0.07474864	-0.06471622	0.03163271	-0.09055203	0.20134994	-0.09935746	0.40391248	-0.050566513	-0.097221896	0.11782558	-0.054584526	-0.20610432	-0.1494059	-0.028703686	0.37991393	-0.094353184	0.018938782	-0.03654628	-0.16653089	-0.11392418	-0.17388345	0.11567383	-0.30016857	-0.020182088	0.009954596	-0.1618043	-0.035540383	-0.14868896	-0.037168603	-0.088916026	0.42508528	-0.122514024	0.15731615	-0.1554505	0.11738048	-0.23411888	0.2717258	0.009633151	-0.120664485	0.29332313	-0.046766147	-0.18348236	0.22200914	-0.12268766	0.04247542	0.16299775	-0.0010704166
RE.097	-0.20797469	-0.14503762	0.08524611	-0.20632695	0.42177215	-0.36843288	0.14578189	-0.17101105	-0.06594799	0.5698224	0.16164559	-0.10428894	2.175753	0.04373446	-0.24073489	-0.27480263	0.09596206	0.12848987	-0.07182974	-0.07218676	0.01745616	-0.23612508	0.030966282	-0.15567295	-0.23472933	-0.2902601	-0.09872441	0.510008	0.27030262	-0.117914446	-0.24505141	-0.20351873	0.21353742	-0.30661938	-0.008024324	-0.28259498	-0.09471324	0.13677303	0.09226333	-0.003894497	-0.11100243	-0.22629432	-0.0708495	-0.005660242	-0.13865377	0.0989785	0.16453862	0.6450907	0.10507924	0.005951339	-0.07936673	-0.05890386	-0.20400283	-0.13754432	-0.12114725	-0.28930253	-0.07315724	-0.08151181	-0.13936919	0.039274886	-0.17800257	0.28154004	-0.075114086	0.109065145	-0.035690725	-0.09255039	-0.22449192
RE.058	0.06809779	0.07584535	0.05381148	-0.25336882	-0.0014609937	-0.06943675	0.03345375	0.19008423	-0.08979346	-0.07894245	-0.11857561	-0.26517883	0.04373446	2.2239685	0.08685133	-0.12418895	-0.05541759	0.06545623	-0.07849981	0.07721955	-0.07372963	-0.07982479	0.14344674	-0.21396567	-0.14488794	-0.066588424	0.14796926	0.005253693	-0.025534451	4.781246E-4	0.2764824	-0.25822136	0.13366382	0.10818406	-0.096495844	-0.2030159	-0.072395734	-0.12174587	-0.08186977	0.08936279	-0.09384954	0.10688563	-0.078020506	-0.18468234	-0.13527271	0.02983049	-0.1630209	-0.004835497	-0.1888058	-0.1623583	0.0099952845	-0.0037901038	-0.21205029	0.13464631	-0.1413144	0.067342825	0.14763781	-0.10831156	0.12304557	-0.22757483	-0.13804509	0.03227143	-0.15301247	-0.02731936	-0.15418792	0.036971215	0.23760065
