	p1	p2	p3	p4	p5	p6
RE.048	0.739295	0.000002	0.000002	0.000002	0.211583	0.049115
RE.056	0.350868	0.000002	0.649123	0.000002	0.000002	0.000002
RE.064	0.061704	0.000002	0.000002	0.938286	0.000002	0.000002
RE.072	0.000002	0.000002	0.357917	0.000002	0.642074	0.000002
RE.080	0.000002	0.000002	0.000002	0.999988	0.000002	0.000002
RE.088	0.745346	0.000002	0.254645	0.000002	0.000002	0.000002
RE.096	0.000002	0.000002	0.000002	0.914650	0.000002	0.085341
RE.049	0.389966	0.000002	0.000002	0.116922	0.153741	0.339367
RE.065	0.000002	0.000002	0.832563	0.167427	0.000002	0.000002
RE.073	0.000002	0.000002	0.000002	0.999988	0.000002	0.000002
RE.081	0.000002	0.252811	0.000002	0.000002	0.000002	0.747179
RE.089	0.083236	0.042553	0.874204	0.000002	0.000002	0.000002
RE.097	0.000002	0.000002	0.000002	0.999988	0.000002	0.000002
RE.058	0.643629	0.356362	0.000002	0.000002	0.000002	0.000002
RE.074	0.245948	0.132237	0.000002	0.000002	0.621808	0.000002
RE.082	0.000002	0.000002	0.000002	0.000002	0.448213	0.551778
RE.090	0.122485	0.000002	0.000002	0.877505	0.000002	0.000002
RE.098	0.000002	0.999988	0.000002	0.000002	0.000002	0.000002
RE.051	0.000002	0.182168	0.000002	0.207393	0.185577	0.424857
RE.059	0.569578	0.000002	0.000002	0.285625	0.144790	0.000002
RE.075	0.000002	0.999988	0.000002	0.000002	0.000002	0.000002
RE.083	0.000002	0.000002	0.000002	0.000002	0.000002	0.999988
RE.091	0.387641	0.015139	0.217400	0.167466	0.212352	0.000002
RE.099	0.000002	0.321132	0.000002	0.346955	0.331906	0.000002
RE.052	0.000002	0.000002	0.199059	0.000002	0.800931	0.000002
RE.068	0.000002	0.000002	0.000002	0.000002	0.000002	0.999988
RE.076	0.745180	0.000002	0.254811	0.000002	0.000002	0.000002
RE.084	0.000002	0.000002	0.000002	0.999988	0.000002	0.000002
RE.092	0.000002	0.999988	0.000002	0.000002	0.000002	0.000002
RE.053	0.000002	0.000002	0.999988	0.000002	0.000002	0.000002
RE.077	0.836458	0.000002	0.000002	0.000002	0.163533	0.000002
RE.085	0.000002	0.000002	0.000002	0.000002	0.999988	0.000002
RE.093	0.301390	0.698601	0.000002	0.000002	0.000002	0.000002
RE.054	0.318759	0.000002	0.000002	0.000002	0.000002	0.681232
RE.062	0.000002	0.000002	0.999988	0.000002	0.000002	0.000002
RE.078	0.000002	0.000002	0.000002	0.000002	0.999988	0.000002
RE.086	0.000002	0.000002	0.653406	0.000002	0.000002	0.346584
RE.094	0.000002	0.271508	0.000002	0.728482	0.000002	0.000002
RE.102	0.067461	0.106149	0.000002	0.295010	0.000002	0.531376
RE.047	0.000002	0.493003	0.506988	0.000002	0.000002	0.000002
RE.055	0.176447	0.358507	0.000002	0.393626	0.000002	0.071415
RE.071	0.363516	0.183635	0.405580	0.000002	0.000002	0.047264
RE.079	0.000002	0.000002	0.000002	0.000002	0.000002	0.999988
RE.087	0.000002	0.446951	0.000002	0.000002	0.553040	0.000002
RE.095	0.000005	0.000003	0.000003	0.030469	0.969518	0.000003
RE.002	0.000002	0.642666	0.169350	0.187892	0.000002	0.000088
RE.003	0.000002	0.000002	0.150594	0.292753	0.000002	0.556646
RE.004	0.000002	0.999988	0.000002	0.000002	0.000002	0.000002
RE.005	0.000002	0.000002	0.000002	0.999988	0.000002	0.000002
RE.006	0.000002	0.000002	0.000002	0.512860	0.487131	0.000002
RE.007	0.244513	0.000002	0.755478	0.000002	0.000002	0.000002
RE.008	0.000002	0.999988	0.000002	0.000002	0.000002	0.000002
RE.009	0.000002	0.000002	0.913307	0.000002	0.000002	0.086684
RE.010	0.379747	0.000002	0.000002	0.000002	0.620244	0.000002
RE.011	0.000002	0.000002	0.999988	0.000002	0.000002	0.000002
RE.012	0.000002	0.000002	0.000002	0.000002	0.000002	0.999988
RE.013	0.999988	0.000002	0.000002	0.000002	0.000002	0.000002
RE.014	0.000002	0.000002	0.302581	0.065692	0.052825	0.578896
RE.015	0.854278	0.000002	0.000002	0.000002	0.145713	0.000002
RE.016	0.000002	0.089796	0.752793	0.157404	0.000002	0.000002
RE.017	0.000002	0.000002	0.000002	0.000002	0.999988	0.000002
RE.018	0.000002	0.800034	0.000002	0.000002	0.000002	0.199957
RE.019	0.000002	0.202542	0.791300	0.006151	0.000002	0.000002
RE.020	0.000002	0.999988	0.000002	0.000002	0.000002	0.000002
RE.021	0.356564	0.000002	0.002190	0.641239	0.000002	0.000002
RE.022	0.424953	0.000002	0.000002	0.000002	0.575037	0.000002
RE.023	0.648467	0.351524	0.000002	0.000002	0.000002	0.000002
